"POVOS QUE FIZERAM SURGIR PAISES:"
""
""
"🌍 POVOS QUE DERAM ORIGEM A PAÍSES E CIVILIZAÇÕES"
"________________________________________"
"🌍 ÁFRICA"
"Khoisan"
"•	Surgimento: ~100.000 a.C."
"•	Características: Caçadores-coletores, língua com sons de “cliques”."
"•	Marcas: Povos humanos mais antigos conhecidos; forte adaptação ao deserto."
"•	Legado: Base genética e cultural do sul da África."
"________________________________________"
"Bantu"
"•	Surgimento: ~3000 a.C."
"•	Características: Agricultores, metalurgia do ferro, grandes migrações."
"•	Marcas: Expansão linguística por quase toda África Subsaariana."
"•	Legado: Origem de dezenas de países africanos atuais."
"________________________________________"
"Nilóticos"
"•	Surgimento: ~4000 a.C."
"•	Características: Pastores, vida ao redor do Rio Nilo."
"•	Marcas: Cultura ligada ao gado e rios."
"•	Legado: Influenciaram Sudão, Etiópia e Quênia."
"________________________________________"
"Pigmeus"
"•	Surgimento: ~40.000 a.C."
"•	Características: Baixa estatura, vida em florestas, caça e coleta."
"•	Marcas: Conhecimento profundo da floresta tropical."
"•	Legado: Cultura ancestral da África Central."
"________________________________________"
"Egípcios Antigos"
"•	Surgimento: ~3100 a.C."
"•	Características: Estado organizado, escrita (hieróglifos), engenharia."
"•	Marcas: Pirâmides, mumificação, matemática e medicina."
"•	Legado: Base da civilização ocidental antiga."
"________________________________________"
"Berberes"
"•	Surgimento: ~3000 a.C."
"•	Características: Povos do deserto, comerciantes, nômades."
"•	Marcas: Resistência cultural e adaptação ao Saara."
"•	Legado: Norte da África (Marrocos, Argélia, Tunísia)."
"________________________________________"
"🌍 ORIENTE MÉDIO"
"Sumérios"
"•	Surgimento: ~3500 a.C."
"•	Características: Primeiras cidades, escrita cuneiforme."
"•	Marcas: Leis, comércio, calendário."
"•	Legado: Primeira civilização da humanidade."
"________________________________________"
"Acádios"
"•	Surgimento: ~2300 a.C."
"•	Características: Primeiro império centralizado."
"•	Marcas: Língua acadiana e administração estatal."
"•	Legado: Modelo de império."
"________________________________________"
"Fenícios"
"•	Surgimento: ~1500 a.C."
"•	Características: Navegadores, comerciantes marítimos."
"•	Marcas: Alfabeto fonético."
"•	Legado: Base do alfabeto ocidental."
"________________________________________"
"Hebreus"
"•	Surgimento: ~1800 a.C."
"•	Características: Monoteísmo, leis religiosas."
"•	Marcas: Bíblia, ética religiosa."
"•	Legado: Judaísmo, Cristianismo e Islamismo."
"________________________________________"
"Assírios"
"•	Surgimento: ~1400 a.C."
"•	Características: Militarismo, uso de ferro."
"•	Marcas: Exércitos organizados."
"•	Legado: Técnicas de guerra e administração."
"________________________________________"
"🌍 EUROPA"
"Celtas"
"•	Surgimento: ~1200 a.C."
"•	Características: Tribais, guerreiros, religião druídica."
"•	Marcas: Cultura oral e arte."
"•	Legado: Irlanda, Escócia, Gália."
"________________________________________"
"Germânicos"
"•	Surgimento: ~500 a.C."
"•	Características: Clãs, guerreiros, leis costumeiras."
"•	Marcas: Direito germânico."
"•	Legado: Alemanha, Inglaterra, países nórdicos."
"________________________________________"
"Latinos"
"•	Surgimento: ~1000 a.C."
"•	Características: Agricultura, urbanização."
"•	Marcas: Roma, direito romano, latim."
"•	Legado: Portugal, Espanha, França, Itália."
"________________________________________"
"Eslavos"
"•	Surgimento: ~500 d.C."
"•	Características: Agricultura, comunidades coletivas."
"•	Marcas: Línguas eslavas."
"•	Legado: Rússia, Polônia, Sérvia."
"________________________________________"
"Nórdicos"
"•	Surgimento: ~200 d.C."
"•	Características: Navegação, mitologia."
"•	Marcas: Expansão viking."
"•	Legado: Escandinávia."
"________________________________________"
"🌍 ÁSIA"
"Chineses Antigos"
"•	Surgimento: ~2000 a.C."
"•	Características: Estado centralizado, escrita própria."
"•	Marcas: Confucionismo, pólvora, papel."
"•	Legado: China moderna."
"________________________________________"
"Indo-Arianos"
"•	Surgimento: ~1500 a.C."
"•	Características: Língua sânscrita, sistema de castas."
"•	Marcas: Vedas."
"•	Legado: Norte da Índia."
"________________________________________"
"Drávidas"
"•	Surgimento: ~2500 a.C."
"•	Características: Cidades planejadas (Harappa)."
"•	Marcas: Engenharia urbana."
"•	Legado: Sul da Índia."
"________________________________________"
"Mongóis"
"•	Surgimento: ~800 d.C."
"•	Características: Cavaleiros nômades."
"•	Marcas: Maior império terrestre da história."
"•	Legado: Integração entre Oriente e Ocidente."
"________________________________________"
"Turcos Antigos"
"•	Surgimento: ~500 d.C."
"•	Características: Nômades guerreiros."
"•	Marcas: Uso de cavalaria."
"•	Legado: Turquia e Ásia Central."
"________________________________________"
"🌍 AMÉRICA DO NORTE"
"Paleo-Índios"
"•	Surgimento: ~13.000 a.C."
"•	Características: Caçadores de megafauna."
"•	Marcas: Primeiros humanos das Américas."
"•	Legado: Povos indígenas."
"________________________________________"
"Iroqueses"
"•	Surgimento: ~1200 d.C."
"•	Características: Confederação política."
"•	Marcas: Sistema democrático tribal."
"•	Legado: Influência na democracia moderna."
"________________________________________"
"Sioux"
"•	Surgimento: ~1400 d.C."
"•	Características: Vida nas planícies, caça ao búfalo."
"•	Marcas: Cultura guerreira."
"•	Legado: Identidade indígena norte-americana."
"________________________________________"
"🌍 AMÉRICA CENTRAL"
"Olmecas"
"•	Surgimento: ~1500 a.C."
"•	Características: Primeira grande civilização da região."
"•	Marcas: Cabeças colossais."
"•	Legado: Base das culturas mesoamericanas."
"________________________________________"
"Maias"
"•	Surgimento: ~2000 a.C."
"•	Características: Astronomia, escrita, matemática."
"•	Marcas: Calendário preciso."
"•	Legado: Guatemala e sul do México."
"________________________________________"
"🌍 AMÉRICA DO SUL"
"Incas"
"•	Surgimento: ~1200 d.C."
"•	Características: Estado centralizado, engenharia."
"•	Marcas: Machu Picchu, estradas."
"•	Legado: Andes."
"________________________________________"
"Tupi"
"•	Surgimento: ~1000 d.C."
"•	Características: Agricultura, canoas."
"•	Marcas: Língua tupi."
"•	Legado: Brasil."
"________________________________________"
"Guarani"
"•	Surgimento: ~500 d.C."
"•	Características: Vida comunitária."
"•	Marcas: Forte espiritualidade."
"•	Legado: Brasil, Paraguai, Argentina."
"________________________________________"
"🌍 OCEANIA"
"Aborígenes Australianos"
"•	Surgimento: ~65.000 a.C."
"•	Características: Cultura oral, conexão com a terra."
"•	Marcas: Arte rupestre."
"•	Legado: Cultura contínua mais antiga do mundo."
"________________________________________"
"Polinésios"
"•	Surgimento: ~1000 a.C."
"•	Características: Navegação oceânica avançada."
"•	Marcas: Colonização de ilhas."
"•	Legado: Havaí, Tonga, Samoa."
"________________________________________"
""
""
